timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
12:31:49:938,err,err,err,err,err,err,err,err,err,err
12:31:50:138,err,err,err,err,err,err,err,err,err,err
12:31:50:295,err,err,err,err,err,err,err,err,err,err
12:31:50:501,err,err,err,err,err,err,err,err,err,err
12:31:50:657,err,err,err,err,err,err,err,err,err,err
12:31:50:801,err,err,err,err,err,err,err,err,err,err
12:31:50:921,err,err,err,err,err,err,err,err,err,err
12:31:51:044,err,err,err,err,err,err,err,err,err,err
12:31:51:169,err,err,err,err,err,err,err,err,err,err
12:31:51:290,err,err,err,err,err,err,err,err,err,err
12:31:51:412,err,err,err,err,err,err,err,err,err,err
12:31:51:536,err,err,err,err,err,err,err,err,err,err
12:31:51:657,err,err,err,err,err,err,err,err,err,err
12:31:51:786,err,err,err,err,err,err,err,err,err,err
12:31:51:908,err,err,err,err,err,err,err,err,err,err
12:31:52:030,err,err,err,err,err,err,err,err,err,err
12:31:52:158,err,err,err,err,err,err,err,err,err,err
12:31:52:276,err,err,err,err,err,err,err,err,err,err
12:31:52:399,err,err,err,err,err,err,err,err,err,err
12:31:52:521,err,err,err,err,err,err,err,err,err,err
12:31:52:646,err,err,err,err,err,err,err,err,err,err
12:31:52:769,err,err,err,err,err,err,err,err,err,err
12:31:52:890,err,err,err,err,err,err,err,err,err,err
12:31:53:012,err,err,err,err,err,err,err,err,err,err
12:31:53:134,err,err,err,err,err,err,err,err,err,err
12:31:53:257,err,err,err,err,err,err,err,err,err,err
12:31:53:382,err,err,err,err,err,err,err,err,err,err
12:31:53:543,err,err,err,err,err,err,err,err,err,err
12:31:53:669,err,err,err,err,err,err,err,err,err,err
12:31:53:834,err,err,err,err,err,err,err,err,err,err
12:31:53:966,err,err,err,err,err,err,err,err,err,err
12:31:54:079,err,err,err,err,err,err,err,err,err,err
12:31:54:200,err,err,err,err,err,err,err,err,err,err
12:31:54:364,err,err,err,err,err,err,err,err,err,err
12:31:54:488,err,err,err,err,err,err,err,err,err,err
12:31:54:609,err,err,err,err,err,err,err,err,err,err
12:31:54:737,err,err,err,err,err,err,err,err,err,err
12:31:54:857,err,err,err,err,err,err,err,err,err,err
12:31:54:980,err,err,err,err,err,err,err,err,err,err
12:31:55:102,err,err,err,err,err,err,err,err,err,err
12:31:55:225,err,err,err,err,err,err,err,err,err,err
12:31:55:350,err,err,err,err,err,err,err,err,err,err
12:31:55:471,err,err,err,err,err,err,err,err,err,err
12:31:55:596,err,err,err,err,err,err,err,err,err,err
12:31:55:722,err,err,err,err,err,err,err,err,err,err
12:31:55:839,err,err,err,err,err,err,err,err,err,err
12:31:55:966,err,err,err,err,err,err,err,err,err,err
12:31:56:086,err,err,err,err,err,err,err,err,err,err
12:31:56:210,err,err,err,err,err,err,err,err,err,err
12:31:56:335,err,err,err,err,err,err,err,err,err,err
12:31:56:454,err,err,err,err,err,err,err,err,err,err
12:31:56:582,err,err,err,err,err,err,err,err,err,err
12:31:56:702,err,err,err,err,err,err,err,err,err,err
12:31:56:866,err,err,err,err,err,err,err,err,err,err
12:31:56:990,err,err,err,err,err,err,err,err,err,err
12:31:57:109,err,err,err,err,err,err,err,err,err,err
12:31:57:240,err,err,err,err,err,err,err,err,err,err
12:31:57:358,err,err,err,err,err,err,err,err,err,err
12:31:57:480,err,err,err,err,err,err,err,err,err,err
12:31:57:606,err,err,err,err,err,err,err,err,err,err
12:31:57:726,err,err,err,err,err,err,err,err,err,err
12:31:57:851,err,err,err,err,err,err,err,err,err,err
12:31:57:972,err,err,err,err,err,err,err,err,err,err
12:31:58:097,err,err,err,err,err,err,err,err,err,err
12:31:58:222,err,err,err,err,err,err,err,err,err,err
12:31:58:342,err,err,err,err,err,err,err,err,err,err
12:31:58:468,err,err,err,err,err,err,err,err,err,err
12:31:58:588,err,err,err,err,err,err,err,err,err,err
12:31:58:712,err,err,err,err,err,err,err,err,err,err
12:31:58:834,err,err,err,err,err,err,err,err,err,err
12:31:58:957,err,err,err,err,err,err,err,err,err,err
12:31:59:086,err,err,err,err,err,err,err,err,err,err
12:31:59:203,err,err,err,err,err,err,err,err,err,err
12:31:59:328,err,err,err,err,err,err,err,err,err,err
12:31:59:451,err,err,err,err,err,err,err,err,err,err
12:31:59:573,err,err,err,err,err,err,err,err,err,err
12:31:59:721,err,err,err,err,err,err,err,err,err,err
12:31:59:817,err,err,err,err,err,err,err,err,err,err
12:31:59:981,err,err,err,err,err,err,err,err,err,err
12:32:00:106,err,err,err,err,err,err,err,err,err,err
12:32:00:229,err,err,err,err,err,err,err,err,err,err
12:32:00:351,err,err,err,err,err,err,err,err,err,err
12:32:00:473,err,err,err,err,err,err,err,err,err,err
12:32:00:596,err,err,err,err,err,err,err,err,err,err
12:32:00:723,err,err,err,err,err,err,err,err,err,err
12:32:00:842,err,err,err,err,err,err,err,err,err,err
12:32:00:969,err,err,err,err,err,err,err,err,err,err
12:32:01:181,err,err,err,err,err,err,err,err,err,err
12:32:01:293,err,err,err,err,err,err,err,err,err,err
12:32:01:419,err,err,err,err,err,err,err,err,err,err
12:32:01:542,err,err,err,err,err,err,err,err,err,err
12:32:01:670,0.12956904624101803,3.336081488951978,84.77273442649074,0.7119591691589158,0.10777083148719035,-0.15428206887930776,84.8384507754768,40,9,-6
12:32:01:792,1.413913695809777,1.3385406406101772,91.90725123312828,-0.021185501376659217,-0.0017499240468895703,0.0008601880865745752,91.92787211839031,-1,0,0
12:32:01:912,0.10507550336020431,3.2937873610130253,82.90992033732948,0.7333614988373276,0.10343929182458594,-0.15425476988126582,82.97538771457049,42,8,-6
12:32:02:035,1.4500410256912468,1.2699956662723075,91.98137149033256,-0.12324678893622598,0.006266879320421307,0.0013641619028606769,92.00156634107434,-7,0,0
12:32:02:157,err,err,err,err,err,err,err,err,err,err
12:32:02:278,0.10496216102107367,3.3748517001089464,83.15607803534338,0.7167080289846092,0.10414916492585351,-0.1519190041179372,83.22459945997393,41,8,-6
12:32:02:403,err,err,err,err,err,err,err,err,err,err
12:32:02:525,0.06413906349689283,3.466105393275481,83.29866767612164,0.6982467301234648,0.10444338473985375,-0.1492351204822846,83.37077447783312,40,8,-6
12:32:02:646,err,err,err,err,err,err,err,err,err,err
12:32:02:770,err,err,err,err,err,err,err,err,err,err
12:32:02:894,1.5142930280129545,1.3333147697195178,91.82025798461157,-0.12919702488535667,-0.021127712620183012,0.000596188439627191,91.84242259441149,-7,-1,0
12:32:03:019,err,err,err,err,err,err,err,err,err,err
12:32:03:138,err,err,err,err,err,err,err,err,err,err
12:32:03:265,err,err,err,err,err,err,err,err,err,err
12:32:03:384,err,err,err,err,err,err,err,err,err,err
12:32:03:509,err,err,err,err,err,err,err,err,err,err
12:32:03:634,1.2072226814781968,-2.068062423976881,77.21875506845768,-1.2409322212967182,0.011510417170227622,0.012042734500195594,77.2558761720725,-71,1,0
12:32:03:756,err,err,err,err,err,err,err,err,err,err
12:32:03:880,err,err,err,err,err,err,err,err,err,err
12:32:04:001,err,err,err,err,err,err,err,err,err,err
12:32:04:125,err,err,err,err,err,err,err,err,err,err
12:32:04:251,err,err,err,err,err,err,err,err,err,err
12:32:04:370,err,err,err,err,err,err,err,err,err,err
12:32:04:521,0.11464600500006483,3.407816821806175,82.80872197186302,0.7110407935812669,0.10180905483806962,-0.1508851111763895,82.87889232977693,40,8,-6
12:32:04:658,err,err,err,err,err,err,err,err,err,err
12:32:04:780,err,err,err,err,err,err,err,err,err,err
