timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
16:18:02:053,err,err,err,err,err,err,err,err,err,err
16:18:02:267,-92.66669532390183,-53.12556888324042,373.1206108172151,-0.2608287862359535,-0.05699575311017077,0.08579301769474015,388.1087897845557,-15,-3,5
16:18:02:418,-93.42781631597728,-53.5119862997212,375.656149966527,-0.2814807118135835,-0.09716733282614291,0.08796628770162657,390.78105448829956,-16,-5,6
16:18:02:584,-93.05737351440273,-53.35401403782516,375.27321654877943,-0.2851502800803554,-0.057948717547162215,0.08254216266322709,390.3028473355205,-16,-3,5
16:18:02:737,-93.24161932318741,-53.43471456974328,375.58268275257757,-0.257712704268163,-0.07837049369045046,0.08396309414988977,390.65537226407554,-15,-4,5
16:18:02:900,err,err,err,err,err,err,err,err,err,err
16:18:03:008,-93.10697705213268,-53.32381193539152,375.0732985400225,-0.2858149975297781,-0.07542298002958124,0.088752171676749,390.1183376525643,-17,-4,6
16:18:03:134,err,err,err,err,err,err,err,err,err,err
16:18:03:253,-93.9378463298571,-53.79316653597118,378.40381005736646,-0.25325539710178185,-0.09435148046768381,0.0884021034818495,393.5828593892143,-15,-5,6
16:18:03:379,err,err,err,err,err,err,err,err,err,err
16:18:03:503,-93.33237495582358,-53.472038735034126,376.10400923911413,-0.2532575172391612,-0.07412618349315318,0.09020379846613463,391.1833545884987,-15,-4,6
16:18:03:623,-92.51550903112562,-52.97274382515013,372.82838010244006,-0.3000207054322474,-0.06706969275002773,0.08451110524466501,387.770849870723,-17,-3,5
16:18:03:750,err,err,err,err,err,err,err,err,err,err
16:18:03:867,err,err,err,err,err,err,err,err,err,err
16:18:03:994,err,err,err,err,err,err,err,err,err,err
16:18:04:119,-93.27084447326948,-53.359029959306305,375.55467227050644,-0.2457207337807101,-0.08137191252825719,0.08630247343708942,390.625073915081,-14,-4,5
16:18:04:244,err,err,err,err,err,err,err,err,err,err
16:18:04:366,-93.45589974081905,-53.57899411069711,376.6174085402203,-0.26287857112680146,-0.07048498771203811,0.09376887500416858,391.72105664851784,-15,-3,6
16:18:04:485,-92.78962619485804,-53.106747019125606,373.77001265022795,-0.28210172916853127,-0.055216904864927224,0.08615290195422247,388.7599049090408,-16,-2,5
16:18:04:612,-92.96762087901425,-53.24610284281762,374.5002424908321,-0.26417664815811404,-0.06794582997424273,0.09148226741841704,389.5235007358915,-15,-3,6
16:18:04:733,-87.4883956216699,-47.75437602221969,346.8480428144973,0.934980086583653,-0.21979783804846298,0.06942974860879268,360.8853898427765,54,-13,-2
16:18:04:881,-87.64767478368593,-47.854374255321815,347.57680025837476,0.9318008157936312,-0.19496447493854893,0.07645767623181715,361.63764752609114,54,-12,-1
