timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
15:43:57:139,err,err,err,err,err,err,err,err,err,err
15:43:57:376,4.2623077573821195,2.362979394630152,221.04193270840133,0.1079099596647204,-0.030206814433113724,-0.00334100129481419,221.0956511433536,6,-2,0
15:43:57:583,4.205915724040019,2.2904619860418896,220.0888655434197,0.1179762509389744,0.0008121306864878115,-0.003355008104166359,220.14096547298212,7,0,0
15:43:57:723,4.217135747411355,2.3695462134829657,221.33503618745388,0.06752754352585794,-0.017393775883979078,-0.0027976847158760697,221.38788861920935,4,-1,0
15:43:57:889,4.202605860290243,2.3038239275127785,221.0806502870254,0.07360731803073348,0.00231850258424932,-0.002203457454685538,221.13259242373104,4,0,0
15:43:58:046,4.222113641047474,2.3432964887859087,220.19386524753335,0.09087505331469979,-0.02481177370523042,-0.002183674485177267,220.24680604876238,5,-1,0
15:43:58:176,4.185373239473622,2.321633119471475,220.70710818224896,0.07609512953297201,0.0238231207399128,-0.0007311987912441211,220.75899739685826,4,1,0
15:43:58:341,4.197222357825496,2.2325946691325065,221.36978827670387,-0.11393934621573171,0.0669842941272165,-0.003212033349518839,221.4208308090058,-7,4,0
15:43:58:497,4.2391474839468914,2.333541034948104,220.6384867908225,0.10281908347319486,-0.0017578134529687129,-0.0034059001102026082,220.6915441028414,6,0,0
15:43:58:617,4.257862113756313,2.370640284253254,221.57839665649968,0.10809437395434225,-0.0008509530752112214,-0.0017129023696350956,221.63198142416675,6,0,0
15:43:58:731,4.221338317378441,2.311827583591288,221.33051904653863,0.0832726701533402,0.018160476364245216,-0.001523190958818876,221.38284239158241,5,1,0
15:43:58:851,4.223939889781121,2.3328196318677605,219.74930040274742,0.12556915999162302,-0.002482068990896292,-0.002100592666988215,219.80227192439173,7,0,0
15:43:58:976,4.24985760372333,2.2908218217619423,220.98535099919604,0.09427777126470059,0.029175334707061778,-0.004848553298772529,221.03808384644682,5,2,0
15:43:59:099,4.215625446952458,2.2998021719665522,221.32288637959587,0.057505638802049945,0.024050812171418183,-0.004584297970844659,221.374977410128,3,1,0
15:43:59:223,4.195676517517474,2.3248559039824865,220.98922597097254,0.07457192495187479,0.010947473995683977,-0.0031823880084144106,221.04127816239097,4,1,0
15:43:59:354,4.236871633297031,2.335929574573726,221.0427476476992,0.09650712884226281,-0.019104617566923845,-0.00022576563497228214,221.09568954608508,6,-1,0
15:43:59:466,4.216928949573522,2.330016710861849,220.5099932330119,0.09900287973833553,0.0330541307495986,-0.0050297627424644486,220.56261828166078,6,2,0
15:43:59:592,4.175422700294337,2.325699928374607,220.84108783185945,0.08095731952768355,0.008782614798978034,0.0008152774833118878,220.89280004029564,5,1,0
15:43:59:715,4.194700675334619,2.295163887010129,220.81388362904886,0.06254711693581214,0.007594680579706296,-0.002159895430505926,220.86564806317668,4,0,0
15:43:59:844,4.199998473539045,2.327675963725729,220.333524152711,0.09904216462505464,0.020255268007683323,-0.003450263537617933,220.38584330242972,6,1,0
15:43:59:966,4.202789809464786,2.3542714041944737,220.9984718216206,0.09082525274794247,0.03873342253935932,-0.0033529578786477264,221.0509682935562,5,2,0
