epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,642.628,0.59177,1.13834,0.83331,0.5933,0.68481,0.66275,0.55955,0.62232,1.77233,0.82126,0.000617396,0.000617396,0.000617396
43,657.817,0.60257,1.22975,0.86273,0.59511,0.65454,0.66455,0.55248,0.64431,1.80436,0.82251,0.00061504,0.00061504,0.00061504
44,673.058,0.56479,1.21123,0.84253,0.58759,0.65839,0.67563,0.55349,0.65354,1.79725,0.81987,0.000612683,0.000612683,0.000612683
45,688.198,0.6307,1.16585,0.84566,0.58759,0.65839,0.67563,0.55349,0.65354,1.79725,0.81987,0.000610327,0.000610327,0.000610327
46,703.445,0.60812,1.16283,0.83258,0.57457,0.6669,0.69746,0.58928,0.59964,1.7283,0.81364,0.000607971,0.000607971,0.000607971
47,718.712,0.57563,1.13354,0.83472,0.60084,0.68365,0.71043,0.6048,0.59355,1.67883,0.81473,0.000605615,0.000605615,0.000605615
48,733.985,0.61871,1.18424,0.86423,0.59023,0.75634,0.72114,0.61479,0.60278,1.54305,0.816,0.000603259,0.000603259,0.000603259
49,749.137,0.58929,1.13851,0.83473,0.59023,0.75634,0.72114,0.61479,0.60278,1.54305,0.816,0.000600902,0.000600902,0.000600902
50,764.356,0.62285,1.15877,0.839,0.60807,0.78082,0.73705,0.63517,0.58304,1.58453,0.81754,0.000598546,0.000598546,0.000598546
51,779.491,0.54119,1.1558,0.8263,0.60562,0.84394,0.74507,0.64754,0.56846,1.5138,0.8161,0.00059619,0.00059619,0.00059619
52,794.639,0.59301,1.08941,0.85288,0.62178,0.88948,0.75165,0.64582,0.56475,1.48614,0.81303,0.000593834,0.000593834,0.000593834
53,809.748,0.59441,1.16497,0.83794,0.62178,0.88948,0.75165,0.64582,0.56475,1.48614,0.81303,0.000591478,0.000591478,0.000591478
54,824.897,0.58942,1.13158,0.84604,0.60319,0.88466,0.74837,0.62919,0.5885,1.44676,0.8102,0.000589121,0.000589121,0.000589121
55,840.036,0.54053,1.07148,0.83332,0.60211,0.89141,0.78311,0.66169,0.57056,1.33721,0.80841,0.000586765,0.000586765,0.000586765
56,855.255,0.54664,1.05028,0.82978,0.63377,0.87692,0.79945,0.69116,0.52053,1.19116,0.80636,0.000584409,0.000584409,0.000584409
57,870.447,0.55561,1.09593,0.83447,0.63377,0.87692,0.79945,0.69116,0.52053,1.19116,0.80636,0.000582053,0.000582053,0.000582053
58,885.564,0.49536,1.05107,0.82464,0.65588,0.88536,0.79313,0.6804,0.52005,1.13238,0.80564,0.000579697,0.000579697,0.000579697
