timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
14:49:56:433,err,err,err,err,err,err,err,err,err,err
14:49:56:635,7.279602858311998,3.776460758087466,368.5303832510551,0.10250287263765599,-0.07923360035069468,0.0029744383640198753,368.62161853695136,6,-5,0
14:49:56:796,7.322501520746541,3.6421140418202897,371.15486951924515,-0.14032466924597856,0.07191881486513499,0.0057736883252549765,371.24496116588955,-8,4,0
14:49:56:954,7.2091219423382045,3.6941190072697117,369.722276178684,-0.1667918941830768,0.10231727232712565,-0.002021689509770602,369.8110050514539,-10,6,-1
14:49:57:095,7.332042454960311,3.815586885230817,370.8813980571058,0.134199459562939,-0.08983477988967563,0.005028287306602159,370.97348823687315,8,-5,0
14:49:57:218,err,err,err,err,err,err,err,err,err,err
14:49:57:337,7.23533374066426,3.743189557401278,369.68885216931034,0.06715300649240676,-0.1013519155233553,0.0031004877594798135,369.77859448684103,4,-6,0
14:49:57:463,7.2122094666390435,3.7278164892483514,368.1321710378252,0.07902873540194598,-0.12454250585241794,0.0018411807235528897,368.22168313964175,5,-7,0
14:49:57:589,7.303721712219672,3.707492678955034,368.272703081218,0.1229207969641065,-0.152705009215181,0.008326589879335525,368.363779011402,7,-9,0
14:49:57:705,err,err,err,err,err,err,err,err,err,err
14:49:57:832,7.728416024088096,5.136909808565094,339.5106441221916,0.7461332252435844,-0.05118872587306328,0.1278726708898135,339.6374445329727,43,-5,6
14:49:57:955,7.306550301000876,3.7232349779559604,369.6026603844846,0.12169402803771011,-0.09793705510492616,0.0016580255436968064,369.69362277335915,7,-6,0
14:49:58:083,7.337031831607981,3.7849273344837955,371.0081064657053,0.030059562229179604,-0.1102272533715779,0.00650156388461569,371.0999498440999,2,-6,0
14:49:58:203,7.250737745646631,3.714262621643699,368.27780113558873,0.14175592939195297,-0.10917584416977028,0.0036596361836705297,368.367897290118,8,-6,0
14:49:58:321,err,err,err,err,err,err,err,err,err,err
14:49:58:450,err,err,err,err,err,err,err,err,err,err
14:49:58:571,7.187689431139907,3.7249344830696196,371.1558200162763,-0.07995545359741621,0.13840159734289462,-0.004043202447632342,371.24409860389187,-5,8,-1
