epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2988.77,0.54687,0.61804,0.84073,0.89272,0.89816,0.96814,0.81554,0.59416,0.63221,0.87887,0.000720295,0.000720295,0.000720295
43,3025.84,0.50993,0.54919,0.83568,0.82688,0.94051,0.95416,0.80623,0.56186,0.65598,0.86024,0.000717546,0.000717546,0.000717546
44,3063.3,0.5335,0.5443,0.83516,0.81786,0.95697,0.95464,0.79322,0.58057,0.6531,0.85251,0.000714797,0.000714797,0.000714797
45,3101.15,0.53669,0.55974,0.85742,0.81786,0.95697,0.95464,0.79322,0.58057,0.6531,0.85251,0.000712048,0.000712048,0.000712048
46,3139.69,0.53631,0.53559,0.84293,0.85345,0.97059,0.96921,0.81576,0.55651,0.60003,0.84773,0.000709299,0.000709299,0.000709299
47,3178.63,0.52833,0.51415,0.84422,0.85683,0.99079,0.96384,0.83187,0.54251,0.61202,0.85218,0.000706551,0.000706551,0.000706551
48,3217.39,0.51589,0.51072,0.85887,0.86744,0.97312,0.97507,0.84195,0.53727,0.56939,0.85578,0.000703802,0.000703802,0.000703802
49,3255.98,0.4962,0.47177,0.84451,0.86744,0.97312,0.97507,0.84195,0.53727,0.56939,0.85578,0.000701053,0.000701053,0.000701053
50,3295.03,0.52406,0.50485,0.83623,0.93506,0.96454,0.98353,0.84187,0.56609,0.53383,0.85504,0.000698304,0.000698304,0.000698304
51,3349.34,0.48577,0.54018,0.85147,0.95585,0.97422,0.98544,0.83601,0.58163,0.55509,0.85891,0.000695555,0.000695555,0.000695555
52,3403.28,0.47873,0.53947,0.83987,0.93538,0.94862,0.97755,0.82844,0.57209,0.55463,0.85737,0.000692806,0.000692806,0.000692806
53,4356.35,0.51817,0.48428,0.84163,0.93538,0.94862,0.97755,0.82844,0.57209,0.55463,0.85737,0.000690057,0.000690057,0.000690057
54,4391.65,0.50466,0.45664,0.84005,0.9347,0.95063,0.97836,0.84125,0.54826,0.5641,0.84552,0.000687308,0.000687308,0.000687308
55,4426.13,0.53861,0.47714,0.85418,0.91408,0.90461,0.97319,0.83841,0.53776,0.56186,0.84016,0.000684559,0.000684559,0.000684559
56,4464.62,0.51181,0.5063,0.82524,0.92186,0.88705,0.96224,0.82048,0.53404,0.56944,0.8429,0.00068181,0.00068181,0.00068181
57,4507.17,0.51021,0.49722,0.83161,0.92186,0.88705,0.96224,0.82048,0.53404,0.56944,0.8429,0.000679062,0.000679062,0.000679062
58,4543.91,0.49802,0.4917,0.83836,0.94159,0.93657,0.96843,0.83,0.54141,0.57718,0.84689,0.000676313,0.000676313,0.000676313
59,4581.37,0.52295,0.54271,0.85634,0.92267,0.96544,0.97154,0.82651,0.56282,0.60447,0.85009,0.000673564,0.000673564,0.000673564
60,4619.09,0.4888,0.43775,0.82972,0.93292,0.88718,0.97667,0.82752,0.52838,0.63117,0.84658,0.000670815,0.000670815,0.000670815
61,4750.46,0.48226,0.47902,0.83367,0.93292,0.88718,0.97667,0.82752,0.52838,0.63117,0.84658,0.000668066,0.000668066,0.000668066
62,4784.41,0.49486,0.42297,0.83211,0.89697,0.91221,0.98327,0.83727,0.52473,0.58723,0.84703,0.000665317,0.000665317,0.000665317
63,4820.06,0.47913,0.45783,0.83547,0.92577,0.90289,0.98043,0.83268,0.54655,0.58522,0.84689,0.000662568,0.000662568,0.000662568
64,4856.58,0.51285,0.50512,0.85636,0.899,0.91279,0.97403,0.83057,0.54594,0.65007,0.85138,0.000659819,0.000659819,0.000659819
65,4893.7,0.47049,0.42727,0.84118,0.899,0.91279,0.97403,0.83057,0.54594,0.65007,0.85138,0.00065707,0.00065707,0.00065707
66,4930.97,0.49,0.45174,0.84177,0.91315,0.93693,0.97576,0.83325,0.53533,0.58204,0.84916,0.000654321,0.000654321,0.000654321
67,5890.38,0.49221,0.41958,0.83541,0.92119,0.97738,0.98031,0.83722,0.533,0.52845,0.84712,0.000651573,0.000651573,0.000651573
68,5924.89,0.48573,0.42082,0.81892,0.91654,0.96773,0.97656,0.83769,0.52462,0.54731,0.84799,0.000648824,0.000648824,0.000648824
69,5958.98,0.45016,0.42717,0.83171,0.91654,0.96773,0.97656,0.83769,0.52462,0.54731,0.84799,0.000646075,0.000646075,0.000646075
70,6986.56,0.47978,0.45623,0.86064,0.93366,0.97703,0.98108,0.85444,0.51512,0.51848,0.84611,0.000643326,0.000643326,0.000643326
71,7021.23,0.4704,0.42455,0.8259,0.94814,0.96734,0.98568,0.86059,0.50271,0.49202,0.84364,0.000640577,0.000640577,0.000640577
72,7056.77,0.48451,0.41817,0.84815,0.96233,0.96797,0.98103,0.85255,0.48321,0.46868,0.84285,0.000637828,0.000637828,0.000637828
73,7440.3,0.47192,0.42863,0.83925,0.96233,0.96797,0.98103,0.85255,0.48321,0.46868,0.84285,0.000635079,0.000635079,0.000635079
74,7948.85,0.47047,0.41962,0.85563,0.95858,0.9646,0.98322,0.85602,0.50057,0.4699,0.84482,0.00063233,0.00063233,0.00063233
75,7984.37,0.45822,0.39857,0.83424,0.93531,0.96916,0.9743,0.85128,0.49319,0.47984,0.84237,0.000629581,0.000629581,0.000629581
76,8577.06,0.4664,0.37622,0.82774,0.96257,0.97831,0.98415,0.85558,0.50408,0.44681,0.84601,0.000626832,0.000626832,0.000626832
77,8612,0.45781,0.40065,0.8386,0.96257,0.97831,0.98415,0.85558,0.50408,0.44681,0.84601,0.000624084,0.000624084,0.000624084
78,8646.16,0.44635,0.38873,0.83519,0.97092,0.98516,0.98089,0.85273,0.51128,0.42387,0.84848,0.000621335,0.000621335,0.000621335
79,8680.81,0.47033,0.40052,0.84043,0.96556,0.98708,0.97928,0.84526,0.48908,0.45,0.84403,0.000618586,0.000618586,0.000618586
80,8715.24,0.4907,0.41346,0.83622,0.95439,0.95889,0.965,0.81825,0.5187,0.53581,0.84561,0.000615837,0.000615837,0.000615837
81,8750.03,0.47724,0.3908,0.82042,0.95439,0.95889,0.965,0.81825,0.5187,0.53581,0.84561,0.000613088,0.000613088,0.000613088
82,8785.36,0.45131,0.41074,0.81883,0.95767,0.94781,0.96456,0.81707,0.53715,0.53494,0.84323,0.000610339,0.000610339,0.000610339
83,8820.64,0.44547,0.42243,0.83522,0.94304,0.9644,0.98293,0.84092,0.51548,0.50102,0.83897,0.00060759,0.00060759,0.00060759
84,8856.36,0.46241,0.40342,0.84327,0.96684,0.93968,0.99125,0.87015,0.4704,0.46146,0.83499,0.000604841,0.000604841,0.000604841
85,8892.06,0.44549,0.38594,0.83487,0.96684,0.93968,0.99125,0.87015,0.4704,0.46146,0.83499,0.000602092,0.000602092,0.000602092
86,8927.57,0.44428,0.46318,0.84354,0.96542,0.95416,0.99125,0.86889,0.46867,0.45566,0.83556,0.000599343,0.000599343,0.000599343
87,8965.3,0.43774,0.41434,0.82519,0.96675,0.95318,0.98296,0.86832,0.47362,0.48137,0.84047,0.000596595,0.000596595,0.000596595
88,9002.46,0.42872,0.38687,0.82139,0.9471,0.95182,0.96492,0.84789,0.47449,0.53603,0.84017,0.000593846,0.000593846,0.000593846
89,9038.18,0.43645,0.3957,0.81943,0.9471,0.95182,0.96492,0.84789,0.47449,0.53603,0.84017,0.000591097,0.000591097,0.000591097
90,9074.2,0.44517,0.35128,0.82899,0.95669,0.96429,0.968,0.85157,0.46912,0.48475,0.83711,0.000588348,0.000588348,0.000588348
91,9110.71,0.47706,0.39271,0.82115,0.95878,0.96784,0.97165,0.85125,0.47886,0.47675,0.83743,0.000585599,0.000585599,0.000585599
92,9146.96,0.46852,0.38468,0.8381,0.9423,0.97084,0.97305,0.85169,0.4906,0.48288,0.838,0.00058285,0.00058285,0.00058285
93,9183.88,0.47193,0.37188,0.8246,0.9423,0.97084,0.97305,0.85169,0.4906,0.48288,0.838,0.000580101,0.000580101,0.000580101
94,9226.78,0.4602,0.39378,0.84208,0.90952,0.96814,0.97961,0.85061,0.48259,0.47312,0.8369,0.000577352,0.000577352,0.000577352
95,9422.45,0.46303,0.39639,0.82341,0.93222,0.96966,0.98671,0.84547,0.4873,0.44899,0.83925,0.000574603,0.000574603,0.000574603
96,9456.32,0.44838,0.35314,0.81786,0.94827,0.96591,0.98562,0.84126,0.50955,0.45046,0.84141,0.000571854,0.000571854,0.000571854
97,9490.96,0.48447,0.39217,0.83609,0.94827,0.96591,0.98562,0.84126,0.50955,0.45046,0.84141,0.000569106,0.000569106,0.000569106
98,9526.12,0.44141,0.35472,0.82861,0.9718,0.966,0.9875,0.85946,0.49093,0.43616,0.83942,0.000566357,0.000566357,0.000566357
99,9561.73,0.45965,0.37143,0.81828,0.97642,0.97249,0.9875,0.87233,0.47415,0.42641,0.83623,0.000563608,0.000563608,0.000563608
100,9597.66,0.44564,0.3516,0.82522,0.97326,0.97917,0.9875,0.8784,0.46874,0.41763,0.83521,0.000560859,0.000560859,0.000560859
101,9633.92,0.46054,0.36451,0.82177,0.97326,0.97917,0.9875,0.8784,0.46874,0.41763,0.83521,0.00055811,0.00055811,0.00055811
102,9670.38,0.45185,0.36527,0.82486,0.97642,0.97308,0.9875,0.87695,0.47178,0.42072,0.83563,0.000555361,0.000555361,0.000555361
103,9707.04,0.47343,0.36621,0.83273,0.9759,0.95273,0.9875,0.86368,0.50026,0.43184,0.8371,0.000552612,0.000552612,0.000552612
104,9743.39,0.45365,0.3808,0.83677,0.94419,0.99194,0.98937,0.86901,0.50387,0.4212,0.83635,0.000549863,0.000549863,0.000549863
105,9779.93,0.44201,0.34127,0.8422,0.94419,0.99194,0.98937,0.86901,0.50387,0.4212,0.83635,0.000547114,0.000547114,0.000547114
106,9817.38,0.44638,0.3394,0.84167,0.96797,0.96866,0.99313,0.87802,0.49126,0.4099,0.83475,0.000544365,0.000544365,0.000544365
107,9854.43,0.43307,0.34227,0.8062,0.9613,0.97699,0.99406,0.8828,0.47833,0.39868,0.83583,0.000541617,0.000541617,0.000541617
108,9891.43,0.40277,0.32459,0.82432,0.96676,0.98818,0.99313,0.87472,0.46611,0.38709,0.83523,0.000538868,0.000538868,0.000538868
