timestamp,tx,ty,tz,rx,ry,rz,Distance,Angle X,Angle Y,Angle Z
16:09:17:099,err,err,err,err,err,err,err,err,err,err
16:09:17:350,7.051547752575608,4.009582794627613,367.8546331678672,0.174396414945909,-0.0720050916041067,0.004781347394115837,367.9440612687749,10,-4,0
16:09:17:503,7.031022231133104,3.998490256002043,369.81046043687536,0.06864150040783297,-0.1347950927328568,0.0036245130051985974,369.8989049003468,4,-8,0
16:09:17:667,7.522470082728406,5.376230641013465,338.1995772999864,0.737333314223088,-0.03327775676605591,0.12492792061699069,338.3259456470053,42,-4,6
16:09:17:815,6.999640664526328,4.127233881670181,370.3811801903806,0.10799279114427215,-0.10156263880493474,0.007022786852506218,370.4703060545685,6,-6,0
16:09:17:947,err,err,err,err,err,err,err,err,err,err
16:09:18:067,7.062865957514535,4.078028714536546,371.8280976649261,0.12186819668477744,0.01106327464976805,0.0076118516026692845,371.917529308378,7,1,0
16:09:18:184,err,err,err,err,err,err,err,err,err,err
16:09:18:306,err,err,err,err,err,err,err,err,err,err
16:09:18:428,7.528878298735612,5.369289474813373,339.4899070114394,0.7454033254742963,-0.052369914902145466,0.12827104198202596,339.6158274293725,43,-5,6
16:09:18:550,err,err,err,err,err,err,err,err,err,err
16:09:18:672,err,err,err,err,err,err,err,err,err,err
16:09:18:796,6.983595537875984,4.100687274536138,372.55792567554033,0.048220800396144695,-0.06970906834455952,-0.002767599834863808,372.6459368172711,3,-4,0
16:09:18:923,7.510648313981457,5.409622372270673,339.9436287096317,0.7439477512123766,-0.05906606504665105,0.13118108263371228,340.06961721473857,42,-6,6
16:09:19:056,7.095954980619125,4.144292650986038,371.8212573258848,0.10279126999333453,-0.10036008550963839,0.0033325666498388975,371.91205296153794,6,-6,0
16:09:19:165,err,err,err,err,err,err,err,err,err,err
16:09:19:286,err,err,err,err,err,err,err,err,err,err
16:09:19:412,7.542864641838654,5.411378789581552,338.38176391497757,0.734239420679203,-0.05962552041444992,0.13007567252010474,338.5090781317704,42,-6,6
16:09:19:539,7.052483332377371,4.091629392436637,371.2916402351002,0.07307192585461801,-0.1106164693423365,0.004858151175372777,371.3811533461406,4,-6,0
16:09:19:670,7.048222540209759,4.08380534616908,369.2685933827566,0.1300914427350214,-0.10138914461770078,0.0017479680626779723,369.3584288546308,7,-6,0
16:09:19:781,err,err,err,err,err,err,err,err,err,err
16:09:19:902,err,err,err,err,err,err,err,err,err,err
16:09:20:023,err,err,err,err,err,err,err,err,err,err
16:09:20:149,err,err,err,err,err,err,err,err,err,err
16:09:20:269,err,err,err,err,err,err,err,err,err,err
16:09:20:394,err,err,err,err,err,err,err,err,err,err
16:09:20:516,6.665169434056827,19.84734683275279,371.614705339043,-0.20955043685023927,-0.0015410375148653106,0.0034885179944423076,372.2040178237038,-12,0,0
16:09:20:638,7.018986842291035,13.25742720324693,368.9236399370894,-0.23592383855520427,0.1394121572506425,0.005421782369440839,369.2284897685616,-14,8,-1
16:09:20:764,err,err,err,err,err,err,err,err,err,err
16:09:20:885,err,err,err,err,err,err,err,err,err,err
16:09:21:011,5.996946995434204,-18.332266731545673,372.32375682645176,-0.08961151269757997,0.0441233579266056,0.001201907345426126,372.8230347955252,-5,3,0
16:09:21:131,err,err,err,err,err,err,err,err,err,err
16:09:21:255,6.094925693391764,-47.192452316589964,371.93815749557575,-0.4499412002694407,0.3348573247707928,0.03938151523677369,374.96969034318664,-26,19,-2
